Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Белица по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X, X1, X3
Уравнение;; 52.01 + 0.98*Smax + 0.48*H + 0.5*X + 0.3*X1 + 0.23*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.19;207.4931026500512;23.506897349948787;552.5742230210293;0.48
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.13;376.9375231405416;-31.9375231405416;1020.0053843526302;-0.65
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.64;333.67040758321974;36.32959241678026;1319.8392851693777;0.74
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.87;235.92929600112066;-37.92929600112066;1438.6314951406277;-0.77
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.52;286.25985766792786;-22.25985766792786;495.5012633964068;-0.45
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.05;288.7354565283897;52.264543471610295;2731.582504295842;1.06
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.73;271.946774040308;-17.946774040308014;322.0866984538736;-0.37
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.15;324.2327228921363;21.76727710786372;473.8143526905279;0.44
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07;314.5104486035113;-28.510448603511293;812.845679573459;-0.58
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.85;254.44301911484405;-55.44301911484405;3073.9283685689625;-1.13
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.54;217.2231359411834;-3.2231359411833864;10.388605295348114;-0.07
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.82;367.12095799197226;11.879042008027739;141.1116390284877;0.24
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.34;280.3679534469642;-56.36795344696418;3177.346175799121;-1.15
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.73;236.02886501984833;17.971134980151675;322.9616924748311;0.37
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.5;379.2574737282538;-16.257473728253785;264.30545202486206;-0.33
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.21;195.9104127827565;-14.91041278275651;222.3204093521887;-0.3
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.3;270.240515142361;4.759484857638995;22.652696110094883;0.1
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.77;277.46492334834386;-25.46492334834386;648.4623211370282;-0.52
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.72;302.696008684178;-97.69600868417803;9544.510112818989;-1.99
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.46;297.39495875579644;-79.39495875579644;6303.559475834618;-1.62
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783784;;Pк -;климатическая обеспеченность в %
Pм =;;64.86486486;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;48.63285928112011;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.6678890852297361;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.4460758301690137;;ρ -;корреляционное отношение
ρ =;;0.7442608211043936;;;(оценка эффективности метода прогнозирования)
Модель:;;TweedieRegressor_GridSearchCV;;δ50% -;погрешность (ошибка) прогнозов (см)
