Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;LinearRegression;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811786;0.8344134529210877;77.0;0.6962458104156923;0.5492923528036533;0.8356302478676959;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;LarsCV;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars7;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars8;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars9;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars10;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars11;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars12;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars13;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum;Lars14;0.556876939585641;0.8305950121194626;70.0;0.6898880741577303;0.5511389929811785;0.8344134529210878;77.0;0.6962458104156924;0.5492923528036532;0.835630247867696;77.0;0.698277911151427
