Dataset_name;Group;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Augmentation;Aug-Mirror;Data size;X_scaling;Y_scaling;Shuffle;Equation;Predictors
Неман-Мосты;0;KNeighborsRegressor;0.24198459679734302;0.9702800909597328;97.2972972972973;0.9414434549128273;0.2990954745323141;0.9542231904089786;93.0;0.9105418971142898;Spline 2;;803;;;Yes;;
Неман-Мосты;2;KNeighborsRegressor;0.382009591226308;0.9241583588385213;89.1891891891892;0.854068672211109;0.34597455703406;0.9382438946697633;93.0;0.8803016058850859;Spline 2;;769;;;Yes;;
Неман-Мосты;1;KNeighborsRegressor;0.4366241765146649;0.8996440009708789;91.8918918918919;0.8093593284828907;0.44763397876607514;0.8942168758495072;91.0;0.799623821054053;Spline 2;;760;;;Yes;;
Неман-Мосты;2;Lars6;0.6904694541026146;0.7233615506447916;72.97297297297297;0.5232519329512373;0.6145671987601788;0.7888644739168236;79.0;0.6223071582080668;Spline 2;;769;;;Yes;Yes;S_2802, H_2802, X2, X3, Xs
Неман-Мосты;0;Lars6;0.7027456729239802;0.7114411565172641;75.67567567567568;0.5061485191866222;0.7224388798254617;0.6914347871755745;74.0;0.47808206491653216;Spline 2;;803;;;Yes;Yes;S_2802, Smax, H_2802, X, X2, X3
Неман-Мосты;1;Lars6;0.7432685827608478;0.6689931344047416;70.27027027027027;0.44755181388068066;0.6080076797459063;0.7939311439728255;74.0;0.6303266613699996;Spline 2;;760;;;Yes;Yes;Smax, H_2802, X, X1, X3
Неман-Столбцы;0;KNeighborsRegressor;0.3143754982448991;0.9492987127892208;94.5945945945946;0.9011680461032714;0.3142779909209891;0.9493309983470816;97.0;0.9012293444226667;Spline 2;;832;;;Yes;;
Неман-Столбцы;2;KNeighborsRegressor;0.374099482931582;0.9273885792214194;91.8918918918919;0.8600495768703229;0.40364520169796547;0.9149155978264928;94.0;0.8370705511462088;Spline 2;;790;;;Yes;;
Неман-Столбцы;1;KNeighborsRegressor;0.3858225917344382;0.9225729931595228;89.1891891891892;0.851140927707321;0.4849585636131617;0.8745371299025897;88.0;0.764815191578259;Spline 2;;803;;;Yes;;
Неман-Столбцы;0;Lars6;0.659774931895598;0.75146326539769;72.97297297297297;0.5646970392421589;0.6379932946044384;0.7700419183653409;75.0;0.592964556039774;Spline 2;;832;;;Yes;Yes;S_2802, Smax, H_2802, X, X2, X3
Неман-Столбцы;1;Lars6;0.6697029935620794;0.7426290463037313;67.56756756756756;0.5514979004139895;0.6404124899725848;0.7680311469511597;67.0;0.5898718426871138;Spline 2;;803;;;Yes;Yes;Smax, H_2802, X, X1, X3
Неман-Столбцы;2;Lars6;0.745158631411628;0.6668872573627042;59.45945945945946;0.4447386140327494;0.7056775334547524;0.7085331458564355;66.0;0.5020192187772169;Spline 2;;790;;;Yes;Yes;S_2802, H_2802, X2, X3, Xs
