Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Столбцы по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X, X1, X3
Уравнение;; 103.11 + 0.48*Smax - 0.0*H + 0.29*X + 0.18*X1 + 0.19*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
24.0;2005.0;201.0;-2.081081081081095;4.330898466033659;-0.08;216.79065745404952;-15.790657454049523;249.34486283112975;-0.63
25.0;2006.0;230.0;26.918918918918905;724.6281957633302;1.07;195.4013050766534;34.59869492334661;1197.0696903988107;1.38
26.0;2007.0;192.0;-11.081081081081095;122.79035792549337;-0.44;172.68629013162183;19.31370986837817;373.01938887988825;0.77
27.0;2008.0;140.0;-63.081081081081095;3979.2227903579274;-2.52;170.921009458389;-30.921009458388994;956.1088259257816;-1.23
28.0;2009.0;183.0;-20.081081081081095;403.2498173849531;-0.8;184.7476493130357;-1.7476493130357085;3.0542781213541836;-0.07
29.0;2010.0;275.0;71.9189189189189;5172.330898466032;2.87;245.66173443520012;29.338265564799883;860.7338263507226;1.17
30.0;2011.0;171.0;-32.081081081081095;1029.1957633308994;-1.28;194.13166965565267;-23.131669655652672;535.0741410582426;-0.92
31.0;2012.0;171.0;-32.081081081081095;1029.1957633308994;-1.28;173.74157974448374;-2.7415797444837438;7.51625949536355;-0.11
32.0;2013.0;263.0;59.918918918918905;3590.276844411978;2.39;269.9903901653623;-6.990390165362328;48.86555466399435;-0.28
33.0;2015.0;160.0;-43.081081081081095;1855.9795471146833;-1.72;179.8743510914521;-19.874351091452098;394.9898313063032;-0.79
34.0;2017.0;205.0;1.918918918918905;3.6822498173848994;0.08;224.37762314177303;-19.37762314177303;375.49227862457764;-0.77
35.0;2018.0;229.0;25.918918918918905;671.7903579254923;1.03;198.6769958457146;30.3230041542854;919.4845809408096;1.21
36.0;2019.0;175.0;-28.081081081081095;788.5471146822506;-1.12;201.03450930171232;-26.03450930171232;677.7956745809453;-1.04
37.0;2021.0;186.0;-17.081081081081095;291.7633308984665;-0.68;209.65837492380695;-23.658374923806946;559.7187040354173;-0.94
Сумма;;7514.0
Средний;;203.0810810810811
Высший;;275.0
Низший;;110.0

σ = ;;37.17629051662601;;σ -;среднеквадратическое отклонение (см)
δдоп =;;25.056819808205933;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;43.24324324;;Pк -;климатическая обеспеченность в %
Pм =;;75.67567568;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;24.121723633304693;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.6488469747275338;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.4210023966130729;;ρ -;корреляционное отношение
ρ =;;0.7609189203764926;;;(оценка эффективности метода прогнозирования)
Модель:;;Lars6;;δ50% -;погрешность (ошибка) прогнозов (см)
