Year;Hmax fact;Hf-Havg;(Hf-Havg)^2;Error climate;Hmax forecast;Hf-Hfor;(Hf-Hfor)^2;Error forecast

Сумма;9796.0,
Средний;279.8857142857143,
Высший;628.0,
Низший;143.0,

σ = ;96.45199093135325,
δдоп =;65.0086418877321,
Pк =;51.42857143,
Pм =;80.0,
S =;65.3159787934004,
S/σ =;0.677186423656999,
(S/σ)^2 =;0.4585814523853565,
ρ =;0.7358114891836383,
Модель:; Lars7,



Сумма;9796.0,
Средний;279.8857142857143,
Высший;628.0,
Низший;143.0,

σ = ;96.45199093135325,
δдоп =;65.0086418877321,
Pк =;51.42857143,
Pм =;80.0,
S =;65.3159787934004,
S/σ =;0.677186423656999,
(S/σ)^2 =;0.4585814523853565,
ρ =;0.7358114891836383,
Модель:; Lars7,
Сумма;9796.0,
Средний;279.8857142857143,
Высший;628.0,
Низший;143.0,

σ = ;96.45199093135325,
δдоп =;65.0086418877321,
Pк =;51.42857143,
Pм =;80.0,
S =;65.3159787934004,
S/σ =;0.677186423656999,
(S/σ)^2 =;0.4585814523853565,
ρ =;0.7358114891836383,
Модель:; Lars7,
Сумма;9796.0,
Средний;279.8857142857143,
Высший;628.0,
Низший;143.0,

σ = ;96.45199093135325,
δдоп =;65.0086418877321,
Pк =;51.42857143,
Pм =;80.0,
S =;65.3159787934004,
S/σ =;0.677186423656999,
(S/σ)^2 =;0.4585814523853565,
ρ =;0.7358114891836383,
Модель:; Lars7,
Сумма;;9796.0,
Средний;;279.8857142857143,
Высший;;628.0,
Низший;;143.0,

σ = ;;96.45199093135325,
δдоп =;;65.0086418877321,
Pк =;;51.42857143,
Pм =;;80.0,
S =;;65.3159787934004,
S/σ =;;0.677186423656999,
(S/σ)^2 =;;0.4585814523853565,
ρ =;;0.7358114891836383,
Модель:;;Lars7,
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ - среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп - допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк - климатическая обеспеченность в %
Pм =;;80.0;;Pм - обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;65.3159787934004;;S - среднеквадратическая погрешность (см)
S/σ =;;0.677186423656999;;S/σ -
(S/σ)^2 =;;0.4585814523853565;;(S/σ)^2 - критерий эффективности метода прогнозирования
ρ =;;0.7358114891836383;;ρ - корреляционное отношение (оценка эффективности метода прогнозирования)
;;;;
Модель:;;Lars7;;δ50% - погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;80.0;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;65.3159787934004;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.677186423656999;;S/σ -;критерий эффективности метода прогнозирования
