Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Гродно по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X1, X3
Уравнение;; 56.44 + 2.12*Smax + 0.38*H + 0.52*X1 + 0.36*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
28.0;2011.0;261.0;-18.8857142857143;356.6702040816332;-0.29;296.51443583012053;-35.51443583012053;1261.275152331749;-0.55
29.0;2012.0;205.0;-74.8857142857143;5607.870204081635;-1.15;233.37443856243553;-28.37443856243553;805.1087637334284;-0.44
30.0;2013.0;314.0;34.1142857142857;1163.7844897959174;0.52;362.0437618906451;-48.0437618906451;2308.2030566050025;-0.74
31.0;2015.0;143.0;-136.8857142857143;18737.69877551021;-2.11;173.38379657497543;-30.383796574975435;923.1750943094889;-0.47
32.0;2017.0;296.0;16.1142857142857;259.67020408163216;0.25;279.8310508158673;16.168949184132714;261.43491771906594;0.25
33.0;2018.0;249.0;-30.8857142857143;953.9273469387764;-0.48;238.16890201144554;10.831097988554461;117.3126836376685;0.17
34.0;2019.0;171.0;-108.8857142857143;11856.098775510207;-1.67;207.55479355519913;-36.554793555199126;1336.2529318632276;-0.56
35.0;2021.0;193.0;-86.8857142857143;7549.127346938778;-1.34;309.89600611255526;-116.89600611255526;13664.676245066556;-1.8
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;80.0;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;65.17867393299916;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.675762867138617;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.4566554526034041;;ρ -;корреляционное отношение
ρ =;;0.7371190863060024;;;(оценка эффективности метода прогнозирования)
Модель:;;OMP4;;δ50% -;погрешность (ошибка) прогнозов (см)
