8;8O-8E0;8H:8;;;;;;;
@>3=>7 <0:A8<0;L=>3> C@>2=O 2>4K =0 2024 3>4;;;;;;;
;;;;;;;
Group;Hmax;Criterion;Correlation;Pm;Method;Predictors;Equations
0;231;0.697;0.717;66.667;QuantileRegressor;S_2802, Smax, H_2802, X, X2, X3, L_max, L_2802, Q12, Q01; - 71.11 + 0.194*S_2802 + 0.728*Smax + 0.397*H_2802 + 0.3*X + 0.302*X2 + 0.431*X3 + 0.46*L_max + 0.897*L_2802 - 0.339*Q12 + 0.475*Q01
0;206;0.702;0.712;63.333;Lars9;S_2802, Smax, H_2802, X, X2, X3, Xs, L_max, L_2802; - 35.813 + 0.209*S_2802 + 0.567*Smax + 0.294*H_2802 + 0.431*X + 0.021*X2 + 0.431*X3 + 0.01*Xs + 0.37*L_max + 0.847*L_2802
0;202;0.703;0.711;60.000;Lars6;S_2802, Smax, H_2802, X, X3, L_2802;17.765 + 0.26*S_2802 + 0.358*Smax + 0.162*H_2802 + 0.461*X + 0.367*X3 + 0.97*L_2802
0;206;0.707;0.707;63.333;Lars8;S_2802, Smax, H_2802, X, X3, L_max, L_2802; - 32.87 + 0.206*S_2802 + 0.561*Smax + 0.287*H_2802 + 0.438*X + 0.431*X3 + 0.382*L_max + 0.824*L_2802
0;206;0.707;0.707;63.333;Lars7;S_2802, Smax, H_2802, X, X3, L_max, L_2802; - 32.756 + 0.206*S_2802 + 0.561*Smax + 0.287*H_2802 + 0.439*X + 0.431*X3 + 0.382*L_max + 0.824*L_2802
0;217;0.716;0.698;70.000;OMP3;X, X3, L_2802; - 27.134 + 0.752*X + 0.653*X3 + 1.364*L_2802
0;179;0.720;0.694;66.667;OMP4;Smax, X, X3, L_2802; - 32.305 + 0.939*Smax + 0.399*X + 0.605*X3 + 1.326*L_2802
0;203;0.740;0.672;60.000;Lars5;S_2802, Smax, X, X3, L_2802;77.389 + 0.401*S_2802 + 0.018*Smax + 0.507*X + 0.277*X3 + 0.722*L_2802
0;208;0.742;0.670;60.000;Lars4;S_2802, X, X3, L_2802;79.657 + 0.408*S_2802 + 0.509*X + 0.27*X3 + 0.709*L_2802
0;308;0.761;0.649;63.333;OMP10;Smax, H_2802, X, X1, X2, X3, Xs, L_2802, Q12, Q01; - 89.739 + 0.783*Smax + 0.41*H_2802 - 0.542*X - 1.004*X1 + 1.31*X2 + 0.572*X3 + 1.026*Xs + 1.427*L_2802 - 0.803*Q12 + 0.525*Q01
0;296;0.784;0.621;63.333;OMP9;Smax, H_2802, X, X1, X2, X3, Xs, L_2802, Q12; - 81.489 + 0.73*Smax + 0.402*H_2802 - 0.719*X - 1.154*X1 + 1.392*X2 + 0.569*X3 + 1.296*Xs + 1.432*L_2802 - 0.448*Q12
0;327;0.784;0.621;56.667;ElasticNetCV;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02; - 87.268 + 0.09*S_2802 + 0.72*Smax + 0.381*H_2802 - 0.73*X - 1.167*X1 + 1.524*X2 + 0.535*X3 + 1.221*Xs - 0.848*L_max + 2.293*L_2802 - 0.965*Q12 + 0.349*Q01 + 0.568*Q02
0;295;0.790;0.613;60.000;OMP8;Smax, H_2802, X, X1, X2, X3, Xs, L_2802; - 89.86 + 0.777*Smax + 0.347*H_2802 - 0.737*X - 1.154*X1 + 1.36*X2 + 0.468*X3 + 1.367*Xs + 1.437*L_2802
0;265;0.798;0.603;70.000;PassiveAggressiveRegressor;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 0.101 + 0.198*S_2802 + 0.841*Smax + 0.108*H_2802 - 0.573*X - 0.892*X1 + 1.042*X2 + 0.41*X3 + 0.674*Xs - 0.421*L_max + 1.569*L_2802 - 1.027*Q12 + 0.724*Q01 + 0.09*Q02 - 0.061*Y_sum
2;162;0.806;0.592;63.333;OMP1;S_2802;163.657 + 1.713*S_2802
0;187;0.819;0.574;60.000;OMP2;X, L_2802;65.616 + 0.904*X + 1.356*L_2802
1;217;0.831;0.556;63.333;BaggingRegressor;;
1;244;0.832;0.556;70.000;KNeighborsRegressor;;
1;216;0.835;0.550;53.333;VotingRegressor;;
0;337;0.854;0.521;50.000;LassoCV;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02; - 86.283 + 0.033*S_2802 + 0.76*Smax + 0.381*H_2802 - 0.905*X - 1.334*X1 + 1.712*X2 + 0.553*X3 + 1.405*Xs - 1.161*L_max + 2.601*L_2802 - 1.053*Q12 + 0.343*Q01 + 0.605*Q02
