year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
2012;20.12.2011;92;106;10.03.2012;159;825;24.04;166.0;106.0;118.0;110.0;217.0;163.0;103.0;581.2;436.6;249.2;21.3;16.0;9.1;46.4
2013;02.12.2012;79;130;20.03.2013;172;929;21.04;147.0;30.3;71.9;109.0;289.0;143.0;122.0;774.1;383.0;295.1;28.4;14.0;10.8;53.2
2014;06.12.2013;2;11;20.02.2014;226;313;29.03;113.0;29.9;23.2;117.0;231.0;269.0;128.0;618.7;720.5;309.7;22.7;26.4;11.3;60.4
2015;16.11.2014;26;52;10.02.2015;88;371;21.04;144.0;78.1;70.1;153.0;40.3;60.1;72.9;107.9;161.0;176.4;4.0;5.9;6.5;16.3
2016;27.12.2015;27;60;05.03.2016;77;386;3.05;137.0;96.9;116.0;129.0;67.6;62.5;85.4;181.1;167.4;206.6;6.6;6.1;7.6;20.3
2017;04.11.2016;58;62;20.02.2017;210;497;24.03;171.0;167.0;39.7;198.0;204.0;221.0;84.5;546.4;591.9;204.4;20.0;21.7;7.5;49.2
2018;08.01.2018;62;80;10.03.2018;197;594;13.04;23.5;23.5;24.4;22.5;391.0;492.0;173.0;1047.3;1317.8;418.5;38.4;48.3;15.3;102.0
2019;20.11.2018;80;111;31.01.2019;55;388;26.03;107.0;66.7;43.3;128.0;43.1;43.5;54.3;115.4;116.5;131.4;4.2;4.3;4.8;13.3
2020;22.11.2019;2;5;10.02.2020;294;416;14.03;115.0;60.9;34.7;120.0;173.0;250.0;265.0;463.4;669.6;641.1;17.0;24.5;23.5;65.0
2021;01.12.2020;14;57;25.02.2021;139;560;6.04;124.0;55.6;51.4;128.0;140.0;184.0;145.0;375.0;492.8;350.8;13.7;18.1;12.8;44.6
2022;04.12.2021;72;85;10.02.2022;184;518;16.4;112.0;61.7;36.6;137.0;202.0;105.2;101.0;541.0;281.8;244.3;19.8;10.3;9.0;39.1
2023;16.11.2022;115;128;10.03.2023;163;940;4.04;283.0;99.7;116.0;264.0;141.0;543.0;249.0;377.7;1454.4;602.4;13.8;53.3;22.1;89.2
